row_num,timestamp,date,time_utc,temp_dht,temp_ds18,temp_delta,humidity,soil_moisture,co2,light_intensity,heat_index,vpd_kpa,fan_state,pump_state,sensor_source,ds_status
32,1781474733.423,2026-06-14,22:05:33,32.68,32.76,0.08,21.35,26.19,303.4,2982.3,30.72,3.886,OFF,OFF,simulator,ok
33,1781474738.424,2026-06-14,22:05:38,32.28,32.11,0.17,20.66,25.14,286.8,2930.3,30.28,3.833,OFF,OFF,simulator,ok
34,1781474743.424,2026-06-14,22:05:43,32.41,32.43,0.02,20.28,25.72,278.3,2878.3,30.38,3.879,OFF,OFF,simulator,ok
35,1781474748.424,2026-06-14,22:05:48,33.04,33.54,0.5,23.13,26.58,297.1,3187.2,31.24,3.875,OFF,OFF,simulator,ok
36,1781474753.425,2026-06-14,22:05:53,32.34,32.52,0.18,25.3,30.58,285.4,2867.1,30.7,3.621,OFF,OFF,simulator,ok
37,1781474758.426,2026-06-14,22:05:58,32.71,33.02,0.31,22.0,29.6,301.8,2891.4,30.8,3.86,OFF,OFF,simulator,ok
38,1781474763.429,2026-06-14,22:06:03,32.71,33.02,0.31,22.1,27.03,291.6,3139.8,30.81,3.855,OFF,OFF,simulator,ok
39,1781474768.426,2026-06-14,22:06:08,33.05,32.23,0.82,21.76,28.76,295.8,2950.8,31.13,3.947,OFF,OFF,simulator,ok
40,1781474773.428,2026-06-14,22:06:13,32.35,32.04,0.31,23.99,27.48,293.2,2650.9,30.59,3.686,OFF,OFF,simulator,ok
41,1781474778.429,2026-06-14,22:06:18,32.71,32.63,0.08,19.95,25.33,304.8,3036.7,30.65,3.962,OFF,OFF,simulator,ok
42,1781474783.429,2026-06-14,22:06:23,32.43,33.22,0.79,21.72,27.43,273.6,2655.3,30.5,3.813,ON,OFF,simulator,ok
43,1781474788.430,2026-06-14,22:06:28,33.4,33.27,0.13,22.76,29.8,273.8,2637.0,31.59,3.973,OFF,OFF,simulator,ok
44,1781474809.509,2026-06-14,22:06:49,32.69,32.89,0.2,21.23,27.47,273.2,2981.1,30.72,3.894,OFF,OFF,simulator,ok
45,1781474814.509,2026-06-14,22:06:54,32.96,33.25,0.29,25.49,28.69,300.2,3009.4,31.39,3.74,OFF,OFF,simulator,ok
46,1781474819.510,2026-06-14,22:06:59,33.38,33.55,0.17,18.41,26.42,276.3,2889.6,31.21,4.192,OFF,OFF,simulator,ok
47,1781474824.510,2026-06-14,22:07:04,33.08,32.67,0.41,22.39,24.94,295.9,2868.5,31.21,3.921,ON,OFF,simulator,ok
48,1781476528.869,2026-06-14,22:35:28,33.53,33.33,0.2,23.23,28.57,311.6,3627.4,31.77,3.978,OFF,OFF,simulator,ok
49,1781476533.875,2026-06-14,22:35:33,32.9,32.54,0.36,26.7,26.25,333.4,3762.8,31.46,3.666,OFF,OFF,simulator,ok
50,1781476538.875,2026-06-14,22:35:38,34.14,33.58,0.56,24.22,26.48,303.7,3431.5,32.58,4.062,OFF,OFF,simulator,ok
51,1781476543.877,2026-06-14,22:35:43,33.25,33.54,0.29,25.23,28.81,331.4,3591.4,31.68,3.814,OFF,OFF,simulator,ok
52,1781476548.877,2026-06-14,22:35:48,33.99,34.02,0.03,21.8,27.11,311.7,3505.2,32.13,4.157,OFF,OFF,simulator,ok
53,1781476553.877,2026-06-14,22:35:53,33.28,32.81,0.47,26.01,26.98,325.3,3612.5,31.81,3.781,OFF,OFF,simulator,ok
54,1781476558.880,2026-06-14,22:35:58,33.55,33.28,0.27,25.64,31.12,323.0,3357.9,32.08,3.857,OFF,OFF,simulator,ok
55,1781476563.879,2026-06-14,22:36:03,33.4,33.78,0.38,22.97,30.64,314.8,3480.2,31.61,3.963,OFF,OFF,simulator,ok
56,1781476568.880,2026-06-14,22:36:08,33.14,33.84,0.7,23.87,26.61,326.6,3457.5,31.42,3.86,OFF,OFF,simulator,ok
57,1781476573.882,2026-06-14,22:36:13,33.68,33.48,0.2,22.86,26.88,339.8,3545.0,31.9,4.031,OFF,OFF,simulator,ok
58,1781476578.880,2026-06-14,22:36:18,33.76,34.27,0.51,24.78,29.12,292.8,3768.1,32.21,3.948,OFF,OFF,simulator,ok
59,1781476583.882,2026-06-14,22:36:23,33.76,33.09,0.67,24.03,26.73,347.1,3212.9,32.12,3.987,OFF,OFF,simulator,ok
60,1781476588.883,2026-06-14,22:36:28,33.97,34.21,0.24,21.96,30.87,324.5,3684.6,32.12,4.144,OFF,OFF,simulator,ok
61,1781476593.884,2026-06-14,22:36:33,33.64,33.31,0.33,21.97,30.63,301.7,3822.2,31.77,4.068,OFF,OFF,simulator,ok
62,1781476598.882,2026-06-14,22:36:38,33.06,32.91,0.15,23.34,29.49,318.0,3478.0,31.28,3.869,OFF,OFF,simulator,ok
63,1781476603.888,2026-06-14,22:36:43,33.13,32.95,0.18,24.44,31.29,310.4,3470.0,31.46,3.829,OFF,OFF,simulator,ok
64,1781476608.885,2026-06-14,22:36:48,33.07,32.7,0.37,25.6,31.44,336.5,3723.8,31.52,3.757,OFF,OFF,simulator,ok
65,1781476613.885,2026-06-14,22:36:53,33.5,33.56,0.06,25.08,24.15,331.5,3489.1,31.95,3.876,OFF,OFF,simulator,ok
66,1781476623.702,2026-06-14,22:37:03,32.98,33.02,0.04,21.96,29.49,319.3,3868.4,31.07,3.921,OFF,ON,simulator,ok
67,1781476821.913,2026-06-14,22:40:21,33.39,33.05,0.34,23.42,29.0,312.0,3554.4,31.64,3.937,OFF,OFF,simulator,ok
68,1781476826.910,2026-06-14,22:40:26,33.32,34.2,0.88,24.31,26.61,337.3,3357.0,31.66,3.876,OFF,OFF,simulator,ok
69,1781476831.910,2026-06-14,22:40:31,33.59,33.8,0.21,23.64,30.24,325.8,3438.6,31.89,3.97,OFF,OFF,simulator,ok
70,1781476836.910,2026-06-14,22:40:36,32.96,33.31,0.35,24.26,28.97,315.5,3579.0,31.26,3.801,OFF,OFF,simulator,ok
71,1781476841.914,2026-06-14,22:40:41,33.33,33.87,0.54,27.54,27.84,340.5,3907.7,32.06,3.713,OFF,OFF,simulator,ok
72,1781476846.916,2026-06-14,22:40:46,33.61,32.79,0.82,22.7,26.35,318.7,3698.2,31.81,4.023,OFF,OFF,simulator,ok
73,1781476851.915,2026-06-14,22:40:51,32.91,33.25,0.34,24.45,28.1,343.1,3787.6,31.22,3.781,OFF,OFF,simulator,ok
74,1781476856.916,2026-06-14,22:40:56,33.32,33.19,0.13,22.55,29.69,332.9,3904.5,31.48,3.966,OFF,OFF,simulator,ok
75,1781476861.916,2026-06-14,22:41:01,33.53,34.07,0.54,24.43,28.69,334.7,3435.1,31.91,3.916,OFF,OFF,simulator,ok
76,1781476866.920,2026-06-14,22:41:06,33.57,33.32,0.25,25.68,30.38,328.0,3862.2,32.1,3.86,OFF,OFF,simulator,ok
77,1781476871.921,2026-06-14,22:41:11,33.6,33.5,0.1,24.66,30.15,318.6,3636.6,32.01,3.919,OFF,OFF,simulator,ok
78,1781476876.922,2026-06-14,22:41:16,33.19,33.49,0.3,24.2,25.77,352.4,3701.0,31.5,3.854,OFF,OFF,simulator,ok
79,1781476881.924,2026-06-14,22:41:21,33.43,33.37,0.06,23.18,25.91,311.1,3748.0,31.66,3.958,OFF,OFF,simulator,ok
80,1781476886.923,2026-06-14,22:41:26,33.63,33.78,0.15,21.05,31.81,336.1,3737.1,31.67,4.114,OFF,OFF,simulator,ok
81,1781476891.925,2026-06-14,22:41:31,33.35,33.6,0.25,23.98,27.7,310.8,3683.5,31.66,3.9,OFF,OFF,simulator,ok
82,1781476896.926,2026-06-14,22:41:36,33.83,33.88,0.05,24.98,28.93,332.5,3527.2,32.32,3.953,OFF,OFF,simulator,ok
83,1781476901.945,2026-06-14,22:41:41,33.45,33.43,0.02,23.41,28.8,344.5,3689.7,31.71,3.951,OFF,OFF,simulator,ok
84,1781476906.928,2026-06-14,22:41:46,33.95,33.53,0.42,26.27,27.97,332.9,3723.9,32.64,3.911,OFF,OFF,simulator,ok
85,1781476911.929,2026-06-14,22:41:51,33.75,33.55,0.2,24.62,28.37,347.2,3920.7,32.18,3.954,OFF,OFF,simulator,ok
86,1781476916.931,2026-06-14,22:41:56,33.91,33.92,0.01,24.46,27.2,333.3,3532.9,32.35,3.998,OFF,OFF,simulator,ok
87,1781476921.930,2026-06-14,22:42:01,34.05,34.37,0.32,26.98,27.61,336.1,3536.4,32.86,3.895,OFF,OFF,simulator,ok
88,1781476926.930,2026-06-14,22:42:06,33.8,33.43,0.37,23.39,31.24,332.7,3800.9,32.09,4.03,OFF,OFF,simulator,ok
89,1781476931.931,2026-06-14,22:42:11,33.62,33.75,0.13,25.22,29.0,316.3,3699.7,32.1,3.894,OFF,OFF,simulator,ok
90,1781476936.938,2026-06-14,22:42:16,33.59,33.49,0.1,23.01,27.37,325.8,3524.3,31.82,4.003,OFF,OFF,simulator,ok
91,1781476941.932,2026-06-14,22:42:21,33.62,33.37,0.25,24.21,28.01,319.0,3366.2,31.98,3.947,OFF,OFF,simulator,ok
92,1781476946.935,2026-06-14,22:42:26,34.27,34.23,0.04,24.44,28.74,311.8,3892.6,32.77,4.08,OFF,OFF,simulator,ok
93,1781476951.934,2026-06-14,22:42:31,33.62,32.54,1.08,24.63,29.04,320.2,3563.4,32.03,3.925,OFF,OFF,simulator,ok
94,1781476956.936,2026-06-14,22:42:36,32.96,32.46,0.5,22.92,29.85,327.4,3420.2,31.13,3.869,OFF,OFF,simulator,ok
95,1781476961.938,2026-06-14,22:42:41,33.43,34.33,0.9,24.83,30.7,314.8,3497.6,31.84,3.873,OFF,OFF,simulator,ok
96,1781476966.937,2026-06-14,22:42:46,33.68,32.93,0.75,22.94,30.46,343.7,3473.6,31.91,4.027,OFF,OFF,simulator,ok
97,1781476971.942,2026-06-14,22:42:51,33.63,33.96,0.33,26.2,28.73,322.6,3907.7,32.24,3.845,OFF,OFF,simulator,ok
98,1781476976.941,2026-06-14,22:42:56,34.56,34.17,0.39,24.86,26.46,355.4,3763.6,33.18,4.123,OFF,OFF,simulator,ok
99,1781476981.938,2026-06-14,22:43:01,33.76,33.8,0.04,24.04,28.94,327.8,3511.6,32.12,3.987,OFF,OFF,simulator,ok
100,1781476986.940,2026-06-14,22:43:06,33.52,33.93,0.41,23.53,25.39,333.8,4010.1,31.8,3.96,OFF,OFF,simulator,ok
101,1781476991.941,2026-06-14,22:43:11,33.65,34.12,0.47,23.2,26.61,334.9,3688.4,31.9,4.006,OFF,OFF,simulator,ok
102,1781476996.941,2026-06-14,22:43:16,33.79,34.14,0.35,24.03,25.92,316.8,3631.2,32.16,3.994,OFF,OFF,simulator,ok
103,1781477001.940,2026-06-14,22:43:21,33.56,33.9,0.34,25.33,29.69,317.5,3742.3,32.05,3.876,OFF,OFF,simulator,ok
104,1781477006.941,2026-06-14,22:43:26,33.58,33.6,0.02,23.56,30.01,330.1,3781.3,31.87,3.972,OFF,OFF,simulator,ok
105,1781477011.942,2026-06-14,22:43:31,33.63,34.13,0.5,24.41,30.14,311.4,3567.5,32.02,3.939,OFF,OFF,simulator,ok
106,1781477016.942,2026-06-14,22:43:36,32.75,33.1,0.35,21.08,32.6,338.5,3411.2,30.77,3.914,OFF,OFF,simulator,ok
107,1781477021.942,2026-06-14,22:43:41,33.87,33.63,0.24,22.55,28.87,329.0,3654.9,32.08,4.09,OFF,OFF,simulator,ok
108,1781477026.944,2026-06-14,22:43:46,33.88,34.33,0.45,24.15,28.14,328.4,3541.8,32.27,4.008,OFF,OFF,simulator,ok
109,1781477031.944,2026-06-14,22:43:51,34.04,33.88,0.16,24.1,27.99,352.4,3833.4,32.45,4.046,OFF,OFF,simulator,ok
110,1781477036.945,2026-06-14,22:43:56,32.76,33.48,0.72,24.76,30.38,337.8,3694.5,31.09,3.734,OFF,OFF,simulator,ok
111,1781477041.949,2026-06-14,22:44:01,33.53,33.58,0.05,24.54,27.66,328.7,3559.9,31.92,3.91,OFF,OFF,simulator,ok
112,1781477046.947,2026-06-14,22:44:06,33.68,33.95,0.27,25.94,29.98,334.5,3937.1,32.27,3.87,OFF,OFF,simulator,ok
113,1781477051.951,2026-06-14,22:44:11,33.56,33.98,0.42,26.77,30.09,311.0,3413.0,32.23,3.801,OFF,OFF,simulator,ok
114,1781477056.949,2026-06-14,22:44:16,34.36,34.03,0.33,22.99,29.08,338.5,3504.2,32.68,4.179,OFF,OFF,simulator,ok
115,1781477061.957,2026-06-14,22:44:21,33.91,33.63,0.28,23.08,32.44,317.4,3838.6,32.18,4.071,OFF,OFF,simulator,ok
116,1781477066.955,2026-06-14,22:44:26,33.42,33.42,0.0,23.23,29.33,310.0,3789.1,31.65,3.954,OFF,OFF,simulator,ok
117,1781477071.957,2026-06-14,22:44:31,34.03,33.9,0.13,23.58,26.64,303.7,3580.9,32.38,4.072,OFF,OFF,simulator,ok
118,1781477076.957,2026-06-14,22:44:36,33.86,34.15,0.29,20.68,26.89,315.0,4051.2,31.88,4.186,OFF,OFF,simulator,ok
119,1781477081.957,2026-06-14,22:44:41,33.27,33.49,0.22,23.9,29.44,332.6,4220.0,31.56,3.886,OFF,OFF,simulator,ok
120,1781477086.958,2026-06-14,22:44:46,33.9,33.99,0.09,26.63,24.03,329.7,3918.5,32.63,3.881,OFF,OFF,simulator,ok
121,1781477091.958,2026-06-14,22:44:51,33.35,33.77,0.42,23.38,28.51,338.7,3825.2,31.59,3.93,OFF,ON,simulator,ok
122,1781477096.959,2026-06-14,22:44:56,33.66,33.98,0.32,25.92,28.58,334.9,3883.0,32.24,3.867,OFF,OFF,simulator,ok
123,1781477101.959,2026-06-14,22:45:01,33.69,34.01,0.32,25.44,29.26,327.2,3886.1,32.21,3.898,OFF,OFF,simulator,ok
124,1781477106.960,2026-06-14,22:45:06,33.9,33.56,0.34,22.29,30.28,326.4,3530.2,32.08,4.111,OFF,OFF,simulator,ok
125,1781477111.969,2026-06-14,22:45:11,33.54,33.32,0.22,22.84,27.3,313.0,3752.1,31.75,4.0,OFF,OFF,simulator,ok
126,1781477116.965,2026-06-14,22:45:16,33.64,33.78,0.14,25.92,27.7,354.0,3628.1,32.22,3.862,OFF,OFF,simulator,ok
127,1781477121.968,2026-06-14,22:45:21,33.42,32.99,0.43,26.84,30.36,324.6,3521.0,32.08,3.768,OFF,OFF,simulator,ok
128,1781477126.966,2026-06-14,22:45:26,33.99,33.97,0.02,22.28,26.82,332.5,3642.1,32.18,4.132,OFF,OFF,simulator,ok
129,1781477131.968,2026-06-14,22:45:31,33.23,33.33,0.1,24.97,32.54,321.8,3816.3,31.63,3.823,OFF,OFF,simulator,ok
130,1781477136.969,2026-06-14,22:45:36,33.78,34.63,0.85,24.51,27.82,348.4,3657.2,32.2,3.967,OFF,OFF,simulator,ok
131,1781477141.972,2026-06-14,22:45:41,34.48,34.56,0.08,20.69,30.11,329.3,3437.4,32.55,4.333,OFF,OFF,simulator,ok
132,1781477146.970,2026-06-14,22:45:46,33.79,33.87,0.08,26.2,29.13,352.8,3701.0,32.43,3.88,OFF,OFF,simulator,ok
133,1781477151.971,2026-06-14,22:45:51,33.72,34.44,0.72,24.51,26.76,326.0,3687.1,32.13,3.953,OFF,OFF,simulator,ok
134,1781477156.972,2026-06-14,22:45:56,33.99,33.92,0.07,23.14,28.29,329.7,3814.4,32.28,4.086,OFF,OFF,simulator,ok
135,1781477161.972,2026-06-14,22:46:01,33.77,34.49,0.72,24.76,27.94,342.7,3798.1,32.22,3.951,OFF,OFF,simulator,ok
136,1781477166.977,2026-06-14,22:46:06,33.53,33.35,0.18,24.54,28.05,332.3,3879.2,31.92,3.91,OFF,OFF,simulator,ok
137,1781477171.975,2026-06-14,22:46:11,32.81,33.15,0.34,21.23,24.58,336.5,3659.1,30.84,3.92,OFF,OFF,simulator,ok
138,1781477176.975,2026-06-14,22:46:16,34.19,34.45,0.26,25.92,32.51,332.1,3535.4,32.88,3.982,OFF,ON,simulator,ok
139,1781477181.976,2026-06-14,22:46:21,33.9,33.57,0.33,25.95,27.27,325.6,3800.9,32.53,3.917,OFF,OFF,simulator,ok
140,1781477186.977,2026-06-14,22:46:26,33.75,33.35,0.4,23.63,30.9,325.7,3842.1,32.06,4.006,OFF,OFF,simulator,ok
141,1781477191.978,2026-06-14,22:46:31,34.02,33.99,0.03,24.93,27.2,348.6,4119.2,32.54,3.998,OFF,OFF,simulator,ok
142,1781477196.981,2026-06-14,22:46:36,33.42,33.11,0.31,25.23,28.63,334.9,3472.8,31.88,3.851,OFF,OFF,simulator,ok
143,1781477201.982,2026-06-14,22:46:41,33.48,33.91,0.43,23.75,29.07,325.8,3904.2,31.78,3.94,OFF,OFF,simulator,ok
144,1781477206.984,2026-06-14,22:46:46,33.43,33.31,0.12,24.9,26.79,336.4,3761.2,31.85,3.87,OFF,OFF,simulator,ok
145,1781477211.984,2026-06-14,22:46:51,34.27,34.24,0.03,23.73,30.39,349.7,3579.7,32.67,4.118,OFF,OFF,simulator,ok
146,1781477216.984,2026-06-14,22:46:56,33.73,33.14,0.59,26.6,27.36,336.5,3696.9,32.41,3.846,OFF,OFF,simulator,ok
147,1781477221.986,2026-06-14,22:47:01,34.48,35.09,0.61,22.8,29.29,328.1,3931.3,32.8,4.217,OFF,OFF,simulator,ok
148,1781477226.989,2026-06-14,22:47:06,34.24,34.93,0.69,22.66,27.3,354.1,3774.9,32.5,4.169,OFF,OFF,simulator,ok
149,1781477231.987,2026-06-14,22:47:11,34.0,34.03,0.03,25.03,29.78,330.8,3888.7,32.53,3.988,OFF,OFF,simulator,ok
150,1781477236.988,2026-06-14,22:47:16,33.98,33.93,0.05,26.94,27.41,335.8,4173.1,32.77,3.882,OFF,OFF,simulator,ok
151,1781477241.987,2026-06-14,22:47:21,34.02,33.43,0.59,25.17,29.1,335.3,3778.9,32.57,3.985,OFF,OFF,simulator,ok
152,1781477246.988,2026-06-14,22:47:26,33.85,34.21,0.36,25.88,28.84,336.0,3425.6,32.46,3.91,OFF,OFF,simulator,ok
153,1781477251.989,2026-06-14,22:47:31,33.89,34.11,0.22,23.31,33.81,330.0,4058.0,32.18,4.054,OFF,OFF,simulator,ok
154,1781477256.989,2026-06-14,22:47:36,34.33,34.18,0.15,23.51,26.75,340.9,3785.0,32.71,4.144,OFF,OFF,simulator,ok
155,1781477261.991,2026-06-14,22:47:41,32.78,32.43,0.35,27.51,31.65,322.9,3821.4,31.41,3.602,OFF,OFF,simulator,ok
156,1781477266.991,2026-06-14,22:47:46,33.48,33.53,0.05,24.53,26.41,317.2,3750.1,31.86,3.9,OFF,OFF,simulator,ok
157,1781477271.991,2026-06-14,22:47:51,34.86,35.16,0.3,21.83,29.8,341.4,3966.2,33.11,4.361,OFF,OFF,simulator,ok
158,1781477276.993,2026-06-14,22:47:56,33.62,32.86,0.76,23.77,29.61,340.1,3956.9,31.93,3.97,OFF,OFF,simulator,ok
159,1781477281.995,2026-06-14,22:48:01,33.75,33.06,0.69,25.12,27.59,314.1,3917.4,32.24,3.928,OFF,OFF,simulator,ok
160,1781477287.000,2026-06-14,22:48:06,34.23,34.29,0.06,25.49,29.7,342.0,3980.8,32.86,4.014,OFF,OFF,simulator,ok
161,1781477292.000,2026-06-14,22:48:11,33.89,34.08,0.19,25.39,29.86,320.2,3943.0,32.44,3.944,OFF,OFF,simulator,ok
162,1781477296.999,2026-06-14,22:48:16,33.36,33.59,0.23,24.38,27.88,332.2,3957.7,31.71,3.881,OFF,OFF,simulator,ok
163,1781477302.001,2026-06-14,22:48:22,33.55,34.18,0.63,26.42,27.14,329.5,3445.6,32.18,3.817,OFF,OFF,simulator,ok
164,1781477307.001,2026-06-14,22:48:27,33.64,33.02,0.62,24.68,28.35,330.5,4081.4,32.06,3.927,OFF,OFF,simulator,ok
165,1781477312.003,2026-06-14,22:48:32,34.1,33.81,0.29,27.01,30.71,327.8,3891.4,32.93,3.904,OFF,OFF,simulator,ok
166,1781477317.003,2026-06-14,22:48:37,33.63,33.38,0.25,27.73,25.98,307.8,3817.3,32.45,3.766,OFF,OFF,simulator,ok
167,1781477322.004,2026-06-14,22:48:42,33.75,33.54,0.21,24.79,31.38,324.2,4004.5,32.2,3.945,OFF,OFF,simulator,ok
168,1781477327.005,2026-06-14,22:48:47,33.61,32.96,0.65,23.39,30.34,332.8,3847.1,31.88,3.987,OFF,OFF,simulator,ok
169,1781477332.008,2026-06-14,22:48:52,34.17,34.52,0.35,25.26,26.26,319.4,3707.4,32.76,4.013,OFF,OFF,simulator,ok
170,1781477337.008,2026-06-14,22:48:57,34.32,33.65,0.67,23.6,30.47,338.7,4083.6,32.71,4.137,OFF,OFF,simulator,ok
171,1781477342.009,2026-06-14,22:49:02,34.01,34.0,0.01,23.3,28.84,334.6,3463.9,32.32,4.082,OFF,OFF,simulator,ok
172,1781477347.010,2026-06-14,22:49:07,33.95,34.1,0.15,21.95,25.82,340.5,3821.8,32.1,4.14,OFF,OFF,simulator,ok
173,1781477352.011,2026-06-14,22:49:12,33.61,33.17,0.44,25.48,28.48,328.2,3852.6,32.13,3.879,OFF,OFF,simulator,ok
174,1781477357.011,2026-06-14,22:49:17,33.19,33.97,0.78,23.62,28.45,347.7,3896.8,31.44,3.883,OFF,OFF,simulator,ok
175,1781477362.013,2026-06-14,22:49:22,33.16,33.28,0.12,24.35,30.36,339.7,3809.3,31.49,3.84,OFF,OFF,simulator,ok
176,1781477367.012,2026-06-14,22:49:27,33.78,33.88,0.1,24.98,29.66,308.6,3548.0,32.26,3.942,OFF,OFF,simulator,ok
177,1781477372.013,2026-06-14,22:49:32,33.67,32.67,1.0,24.93,24.0,340.8,3516.5,32.13,3.92,OFF,OFF,simulator,ok
178,1781477377.014,2026-06-14,22:49:37,34.18,34.12,0.06,24.4,28.7,303.9,3723.1,32.65,4.062,OFF,ON,simulator,ok
179,1781477382.014,2026-06-14,22:49:42,33.42,33.08,0.34,24.78,27.93,326.8,3846.1,31.82,3.874,OFF,OFF,simulator,ok
180,1781477387.016,2026-06-14,22:49:47,33.5,33.41,0.09,26.17,32.21,328.0,3856.4,32.08,3.819,OFF,OFF,simulator,ok
181,1781477392.015,2026-06-14,22:49:52,33.49,33.42,0.07,25.09,28.35,335.4,3968.0,31.94,3.873,OFF,OFF,simulator,ok
182,1781477397.016,2026-06-14,22:49:57,33.82,33.97,0.15,23.71,27.43,320.5,3667.7,32.15,4.018,OFF,OFF,simulator,ok
183,1781477402.016,2026-06-14,22:50:02,32.96,32.99,0.03,23.46,29.2,329.5,3920.1,31.18,3.841,OFF,OFF,simulator,ok
184,1781477407.017,2026-06-14,22:50:07,33.77,34.02,0.25,25.84,32.42,334.3,3374.5,32.36,3.895,OFF,OFF,simulator,ok
185,1781477412.017,2026-06-14,22:50:12,34.36,34.84,0.48,24.39,28.64,349.5,4098.2,32.87,4.103,OFF,OFF,simulator,ok
186,1781477417.019,2026-06-14,22:50:17,33.6,32.87,0.73,26.21,31.8,349.6,3811.2,32.21,3.839,OFF,OFF,simulator,ok
187,1781477422.019,2026-06-14,22:50:22,33.76,33.44,0.32,26.92,29.19,350.6,3890.0,32.5,3.836,OFF,OFF,simulator,ok
